date,draw_no,n1,n2,n3,n4,n5,bonus,numbers
2016-06-22,784,13,20,25,27,28,13,13 20 25 27 28
2016-06-29,785,6,19,24,29,30,13,6 19 24 29 30
2016-07-06,786,10,20,21,24,32,5,10 20 21 24 32
2016-07-13,787,7,12,15,19,26,2,7 12 15 19 26
2016-07-20,788,4,9,11,12,29,2,4 9 11 12 29
2016-07-27,789,9,17,18,24,34,5,9 17 18 24 34
2016-08-03,790,1,4,9,11,26,8,1 4 9 11 26
2016-08-10,791,10,12,16,25,34,11,10 12 16 25 34
2016-08-17,792,6,11,20,23,29,11,6 11 20 23 29
2016-08-24,793,12,22,25,26,33,3,12 22 25 26 33
2016-08-31,794,1,5,6,9,12,2,1 5 6 9 12
2016-09-07,795,5,10,12,20,25,7,5 10 12 20 25
2016-09-14,796,3,10,15,22,32,7,3 10 15 22 32
2016-09-21,797,3,12,13,27,33,1,3 12 13 27 33
2016-09-28,798,5,13,15,32,33,8,5 13 15 32 33
2016-10-05,799,13,24,25,27,33,2,13 24 25 27 33
2016-10-12,800,11,13,20,26,29,10,11 13 20 26 29
2016-10-19,801,2,12,23,24,30,6,2 12 23 24 30
2016-10-26,802,11,14,20,26,28,10,11 14 20 26 28
2016-11-02,803,4,11,26,29,30,11,4 11 26 29 30
2016-11-09,804,4,13,21,27,28,6,4 13 21 27 28
2016-11-16,805,4,18,20,22,32,13,4 18 20 22 32
2016-11-23,806,6,23,24,26,33,6,6 23 24 26 33
2016-11-30,807,4,10,11,16,26,1,4 10 11 16 26
2016-12-07,808,6,10,17,24,30,4,6 10 17 24 30
2016-12-14,809,4,16,22,29,30,11,4 16 22 29 30
2016-12-21,810,8,20,23,27,32,11,8 20 23 27 32
2016-12-28,811,7,8,11,26,28,10,7 8 11 26 28
2017-01-04,812,8,13,17,27,28,6,8 13 17 27 28
2017-01-11,813,2,3,8,20,26,8,2 3 8 20 26
2017-01-18,814,3,4,19,23,29,8,3 4 19 23 29
2017-01-25,815,3,6,15,19,33,13,3 6 15 19 33
2017-02-01,816,1,13,17,19,32,8,1 13 17 19 32
2017-02-08,817,11,12,25,27,29,11,11 12 25 27 29
2017-02-15,818,3,11,12,19,24,9,3 11 12 19 24
2017-02-22,819,16,20,27,28,31,5,16 20 27 28 31
2017-03-01,820,7,11,13,20,29,6,7 11 13 20 29
2017-03-08,821,2,3,6,11,18,12,2 3 6 11 18
2017-03-15,822,18,22,23,26,29,12,18 22 23 26 29
2017-03-22,823,4,24,26,29,31,11,4 24 26 29 31
2017-03-29,824,8,25,29,31,34,6,8 25 29 31 34
2017-04-05,825,9,13,22,24,33,2,9 13 22 24 33
2017-04-12,826,1,4,10,26,32,9,1 4 10 26 32
2017-04-19,827,9,10,14,30,31,7,9 10 14 30 31
2017-04-26,828,7,10,14,18,19,10,7 10 14 18 19
2017-05-03,829,11,13,15,18,19,8,11 13 15 18 19
2017-05-10,830,4,7,19,29,30,3,4 7 19 29 30
2017-05-17,831,5,6,9,10,14,1,5 6 9 10 14
2017-05-24,832,22,26,28,29,34,12,22 26 28 29 34
2017-05-31,833,5,8,11,16,20,4,5 8 11 16 20
2017-06-07,834,1,12,13,20,31,1,1 12 13 20 31
2017-06-14,835,2,17,20,23,33,4,2 17 20 23 33
2017-06-21,836,3,4,17,19,33,10,3 4 17 19 33
2017-06-28,837,20,21,23,24,29,9,20 21 23 24 29
2017-07-05,838,2,5,10,11,32,2,2 5 10 11 32
2017-07-12,839,6,8,10,26,27,11,6 8 10 26 27
2017-07-19,840,8,22,24,28,30,6,8 22 24 28 30
2017-07-26,841,14,20,21,22,26,3,14 20 21 22 26
2017-08-02,842,1,17,20,21,28,4,1 17 20 21 28
2017-08-09,843,18,20,23,24,31,10,18 20 23 24 31
2017-08-16,844,2,4,5,11,31,5,2 4 5 11 31
2017-08-23,845,13,19,21,24,29,6,13 19 21 24 29
2017-08-30,846,10,13,15,30,31,6,10 13 15 30 31
2017-09-06,847,2,6,11,13,26,6,2 6 11 13 26
2017-09-13,848,3,9,23,27,32,7,3 9 23 27 32
2017-09-20,849,10,18,28,30,32,4,10 18 28 30 32
2017-09-27,850,1,6,8,17,31,4,1 6 8 17 31
2017-10-04,851,2,12,16,26,32,10,2 12 16 26 32
2017-10-11,852,8,9,13,30,34,9,8 9 13 30 34
2017-10-18,853,1,2,15,16,25,12,1 2 15 16 25
2017-10-25,854,1,2,15,19,23,9,1 2 15 19 23
2017-11-01,855,1,20,22,24,29,2,1 20 22 24 29
2017-11-08,856,12,14,25,30,32,2,12 14 25 30 32
2017-11-15,857,3,5,8,23,32,11,3 5 8 23 32
2017-11-22,858,13,15,22,24,31,9,13 15 22 24 31
2017-11-29,859,3,6,7,13,27,3,3 6 7 13 27
2017-12-06,860,2,5,10,32,34,1,2 5 10 32 34
2017-12-13,861,8,9,11,17,23,6,8 9 11 17 23
2017-12-20,862,6,10,13,16,25,12,6 10 13 16 25
2017-12-27,863,6,8,25,28,33,5,6 8 25 28 33
2018-01-03,864,11,15,20,21,26,2,11 15 20 21 26
2018-01-10,865,9,12,16,19,26,9,9 12 16 19 26
2018-01-17,866,9,10,16,29,34,6,9 10 16 29 34
2018-01-24,867,6,11,14,17,29,11,6 11 14 17 29
2018-01-31,868,8,9,16,25,29,7,8 9 16 25 29
2018-02-07,869,17,20,21,32,34,10,17 20 21 32 34
2018-02-14,870,1,11,25,28,30,6,1 11 25 28 30
2018-02-21,871,9,10,15,27,31,3,9 10 15 27 31
2018-02-28,872,2,5,6,14,30,13,2 5 6 14 30
2018-03-07,873,5,8,14,17,32,9,5 8 14 17 32
2018-03-14,874,2,7,10,16,21,9,2 7 10 16 21
2018-03-21,875,3,20,23,27,29,12,3 20 23 27 29
2018-03-28,876,9,11,15,18,19,9,9 11 15 18 19
2018-04-04,877,14,16,30,31,33,3,14 16 30 31 33
2018-04-11,878,6,23,25,26,30,4,6 23 25 26 30
2018-04-18,879,8,9,19,20,25,10,8 9 19 20 25
2018-04-25,880,5,14,18,26,30,12,5 14 18 26 30
2018-05-02,881,15,16,17,23,31,3,15 16 17 23 31
2018-05-09,882,2,7,11,19,27,6,2 7 11 19 27
2018-05-16,883,5,9,14,26,31,12,5 9 14 26 31
2018-05-23,884,6,9,10,24,27,12,6 9 10 24 27
2018-05-30,885,1,4,14,21,25,12,1 4 14 21 25
2018-06-06,886,13,18,28,30,33,13,13 18 28 30 33
2018-06-13,887,11,20,22,24,34,1,11 20 22 24 34
2018-06-20,888,4,9,13,21,26,9,4 9 13 21 26
2018-06-27,889,19,21,22,23,24,8,19 21 22 23 24
2018-07-04,890,8,15,16,30,31,9,8 15 16 30 31
2018-07-11,891,17,24,26,33,34,11,17 24 26 33 34
2018-07-18,892,8,14,16,28,31,10,8 14 16 28 31
2018-07-25,893,7,14,15,18,20,9,7 14 15 18 20
2018-08-01,894,9,21,26,28,30,9,9 21 26 28 30
2018-08-08,895,1,22,29,32,33,12,1 22 29 32 33
2018-08-15,896,3,23,24,26,31,2,3 23 24 26 31
2018-08-22,897,2,11,13,19,32,11,2 11 13 19 32
2018-08-29,898,11,16,18,22,31,4,11 16 18 22 31
2018-09-05,899,5,15,22,33,34,2,5 15 22 33 34
2018-09-12,900,8,20,24,25,26,3,8 20 24 25 26
2018-09-19,901,2,3,6,20,30,1,2 3 6 20 30
2018-09-26,902,20,23,25,29,30,3,20 23 25 29 30
2018-10-03,903,7,9,14,24,28,6,7 9 14 24 28
2018-10-10,904,1,11,17,26,34,1,1 11 17 26 34
2018-10-17,905,6,18,19,26,27,5,6 18 19 26 27
2018-10-24,906,2,5,14,15,22,14,2 5 14 15 22
2018-10-31,907,2,12,25,29,30,6,2 12 25 29 30
2018-11-07,908,8,16,21,23,32,13,8 16 21 23 32
2018-11-14,909,13,14,23,26,27,14,13 14 23 26 27
2018-11-21,910,3,5,12,13,22,3,3 5 12 13 22
2018-11-28,911,11,13,18,29,34,14,11 13 18 29 34
2018-12-05,912,2,7,13,19,29,9,2 7 13 19 29
2018-12-12,913,1,2,8,22,27,14,1 2 8 22 27
2018-12-19,914,12,14,15,25,33,8,12 14 15 25 33
2018-12-26,915,1,8,12,13,18,9,1 8 12 13 18
2019-01-02,916,5,18,22,24,31,2,5 18 22 24 31
2019-01-09,917,7,15,19,32,33,7,7 15 19 32 33
2019-01-16,918,9,12,18,20,23,1,9 12 18 20 23
2019-01-23,919,1,10,18,29,30,10,1 10 18 29 30
2019-01-30,920,2,9,11,19,31,11,2 9 11 19 31
2019-02-06,921,3,11,15,17,23,6,3 11 15 17 23
2019-02-13,922,8,15,17,25,30,14,8 15 17 25 30
2019-02-20,923,8,10,13,14,18,3,8 10 13 14 18
2019-02-27,924,11,12,23,26,27,13,11 12 23 26 27
2019-03-06,925,12,13,19,29,33,14,12 13 19 29 33
2019-03-13,926,1,9,13,21,32,13,1 9 13 21 32
2019-03-20,927,2,12,28,32,34,2,2 12 28 32 34
2019-03-27,928,1,8,25,30,33,13,1 8 25 30 33
2019-04-03,929,6,9,16,19,21,11,6 9 16 19 21
2019-04-10,930,2,3,10,25,27,4,2 3 10 25 27
2019-04-17,931,10,18,22,28,31,3,10 18 22 28 31
2019-04-24,932,6,9,13,22,29,8,6 9 13 22 29
2019-05-01,933,7,17,26,28,29,7,7 17 26 28 29
2019-05-08,934,7,10,20,29,31,14,7 10 20 29 31
2019-05-15,935,2,7,12,22,31,2,2 7 12 22 31
2019-05-22,936,2,13,19,23,33,11,2 13 19 23 33
2019-05-29,937,1,9,27,31,32,9,1 9 27 31 32
2019-06-05,938,1,3,12,13,33,12,1 3 12 13 33
2019-06-12,939,10,16,24,25,33,3,10 16 24 25 33
2019-06-19,940,15,16,17,27,28,4,15 16 17 27 28
2019-06-26,941,1,4,14,29,34,10,1 4 14 29 34
2019-07-03,942,3,7,9,17,24,6,3 7 9 17 24
2019-07-10,943,2,8,19,20,29,14,2 8 19 20 29
2019-07-17,944,3,7,8,25,34,8,3 7 8 25 34
2019-07-24,945,7,14,18,22,34,5,7 14 18 22 34
2019-07-31,946,10,13,14,18,27,3,10 13 14 18 27
2019-08-07,947,1,9,10,12,21,2,1 9 10 12 21
2019-08-14,948,7,13,15,25,31,2,7 13 15 25 31
2019-08-21,949,6,8,10,27,31,4,6 8 10 27 31
2019-08-28,950,1,15,24,32,33,4,1 15 24 32 33
2019-09-04,951,6,15,18,21,24,7,6 15 18 21 24
2019-09-11,952,6,8,19,27,34,4,6 8 19 27 34
2019-09-18,953,10,14,23,27,30,10,10 14 23 27 30
2019-09-25,954,1,12,16,18,29,6,1 12 16 18 29
2019-10-02,955,5,15,29,31,33,8,5 15 29 31 33
2019-10-09,956,3,11,14,28,31,1,3 11 14 28 31
2019-10-16,957,3,11,17,23,31,5,3 11 17 23 31
2019-10-23,958,10,14,16,26,29,11,10 14 16 26 29
2019-10-30,959,1,10,30,32,34,3,1 10 30 32 34
2019-11-06,960,7,8,27,29,33,10,7 8 27 29 33
2019-11-13,961,2,19,21,24,25,5,2 19 21 24 25
2019-11-20,962,7,8,25,29,32,6,7 8 25 29 32
2019-11-27,963,1,9,14,24,28,14,1 9 14 24 28
2019-12-04,964,12,18,26,30,34,6,12 18 26 30 34
2019-12-11,965,2,4,7,12,21,10,2 4 7 12 21
2019-12-18,966,11,12,17,23,26,3,11 12 17 23 26
2019-12-25,967,4,5,21,22,31,3,4 5 21 22 31
2020-01-01,968,6,7,18,25,34,5,6 7 18 25 34
2020-01-08,969,4,12,18,28,33,11,4 12 18 28 33
2020-01-15,970,3,17,18,23,26,4,3 17 18 23 26
2020-01-22,971,17,18,24,27,29,11,17 18 24 27 29
2020-01-29,972,6,12,17,19,30,8,6 12 17 19 30
2020-02-05,973,1,16,17,26,31,1,1 16 17 26 31
2020-02-12,974,4,16,20,21,29,9,4 16 20 21 29
2020-02-19,975,1,2,5,6,25,1,1 2 5 6 25
2020-02-26,976,3,11,20,25,28,6,3 11 20 25 28
2020-03-04,977,3,12,25,28,32,14,3 12 25 28 32
2020-03-11,978,2,6,14,22,34,4,2 6 14 22 34
2020-03-18,979,2,4,16,25,30,14,2 4 16 25 30
2020-03-25,980,9,14,22,25,26,10,9 14 22 25 26
2020-04-01,981,5,13,14,31,33,4,5 13 14 31 33
2020-04-08,982,4,5,8,9,11,12,4 5 8 9 11
2020-04-15,983,7,10,16,29,34,7,7 10 16 29 34
2020-04-22,984,3,11,12,25,34,9,3 11 12 25 34
2020-04-29,985,8,12,22,32,33,10,8 12 22 32 33
2020-05-06,986,22,25,28,29,30,5,22 25 28 29 30
2020-05-13,987,7,9,29,31,33,13,7 9 29 31 33
2020-05-20,988,2,9,14,20,27,4,2 9 14 20 27
2020-05-27,989,3,5,11,23,31,13,3 5 11 23 31
2020-06-03,990,6,7,9,23,32,1,6 7 9 23 32
2020-06-10,991,16,19,23,30,32,3,16 19 23 30 32
2020-06-17,992,4,10,19,20,30,4,4 10 19 20 30
2020-06-24,993,1,17,20,25,34,8,1 17 20 25 34
2020-07-01,994,9,12,14,23,30,4,9 12 14 23 30
2020-07-08,995,11,12,20,30,33,14,11 12 20 30 33
2020-07-15,996,2,5,8,15,16,10,2 5 8 15 16
2020-07-22,997,6,16,17,25,31,9,6 16 17 25 31
2020-07-29,998,11,13,14,32,34,8,11 13 14 32 34
2020-08-05,1,1,4,7,14,24,1,1 4 7 14 24
2020-08-12,2,2,7,20,21,33,1,2 7 20 21 33
2020-08-19,3,5,13,18,19,21,1,5 13 18 19 21
2020-08-26,4,14,15,18,29,24,5,14 15 18 29 24
2020-09-02,5,4,5,23,25,29,6,4 5 23 25 29
2020-09-09,6,3,5,21,29,32,6,3 5 21 29 32
2020-09-16,7,11,12,22,25,33,13,11 12 22 25 33
2020-09-23,8,6,11,14,18,34,6,6 11 14 18 34
2020-09-30,9,1,4,7,17,23,5,1 4 7 17 23
2020-10-07,10,1,6,13,22,23,6,1 6 13 22 23
2020-10-14,11,3,4,22,32,33,11,3 4 22 32 33
2020-10-18,12,6,10,15,22,29,2,6 10 15 22 29
2020-10-21,13,12,16,17,26,32,12,12 16 17 26 32
2020-10-25,14,7,12,15,31,34,14,7 12 15 31 34
2020-10-28,15,6,18,19,23,27,14,6 18 19 23 27
2020-11-01,16,3,5,9,29,34,2,3 5 9 29 34
2020-11-04,17,4,27,28,32,34,4,4 27 28 32 34
2020-11-08,18,4,5,9,11,30,6,4 5 9 11 30
2020-11-11,19,18,22,26,28,33,1,18 22 26 28 33
2020-11-15,20,18,20,28,31,32,5,18 20 28 31 32
2020-11-18,21,6,8,27,31,32,10,6 8 27 31 32
2020-11-22,22,2,16,20,28,31,1,2 16 20 28 31
2020-11-25,23,1,7,16,21,22,12,1 7 16 21 22
2020-11-29,24,11,13,16,26,32,10,11 13 16 26 32
2020-12-02,25,4,9,10,13,33,12,4 9 10 13 33
2020-12-06,26,7,21,22,26,34,6,7 21 22 26 34
2020-12-09,27,11,17,20,28,29,14,11 17 20 28 29
2020-12-13,28,5,9,10,28,33,7,5 9 10 28 33
2020-12-16,29,2,12,14,22,30,6,2 12 14 22 30
2020-12-20,30,8,9,18,30,32,9,8 9 18 30 32
2020-12-23,31,2,11,25,28,33,1,2 11 25 28 33
2020-12-27,32,3,7,13,19,28,13,3 7 13 19 28
2020-12-30,33,15,16,18,25,31,14,15 16 18 25 31
2021-01-03,1,10,12,16,26,29,9,10 12 16 26 29
2021-01-06,2,10,14,23,30,34,8,10 14 23 30 34
2021-01-10,3,3,10,12,13,17,5,3 10 12 13 17
2021-01-13,4,17,19,24,32,34,1,17 19 24 32 34
2021-01-17,5,4,7,20,26,27,7,4 7 20 26 27
2021-01-20,6,18,19,27,32,34,3,18 19 27 32 34
2021-01-24,7,2,6,24,29,30,6,2 6 24 29 30
2021-01-27,8,6,12,14,24,30,4,6 12 14 24 30
2021-01-31,9,14,16,19,25,34,2,14 16 19 25 34
2021-02-03,10,2,3,7,11,15,4,2 3 7 11 15
2021-02-07,11,8,9,15,20,30,12,8 9 15 20 30
2021-02-10,12,9,21,22,25,31,14,9 21 22 25 31
2021-02-14,13,8,9,10,14,17,3,8 9 10 14 17
2021-02-17,14,7,11,22,24,31,7,7 11 22 24 31
2021-02-21,15,3,6,9,24,29,11,3 6 9 24 29
2021-02-24,16,2,17,27,32,34,9,2 17 27 32 34
2021-02-28,17,3,5,12,13,31,2,3 5 12 13 31
2021-03-03,18,11,20,21,22,34,1,11 20 21 22 34
2021-03-07,19,2,11,14,18,31,12,2 11 14 18 31
2021-03-10,20,22,28,29,30,32,7,22 28 29 30 32
2021-03-13,21,7,25,26,27,30,11,7 25 26 27 30
2021-03-14,21,2,7,14,18,30,9,2 7 14 18 30
2021-03-17,22,2,8,9,25,27,12,2 8 9 25 27
2021-03-21,23,4,14,22,25,28,3,4 14 22 25 28
2021-03-24,24,4,9,23,27,31,5,4 9 23 27 31
2021-03-28,25,10,12,14,22,28,3,10 12 14 22 28
2021-03-31,26,2,6,9,15,30,14,2 6 9 15 30
2021-04-04,27,3,8,11,13,19,5,3 8 11 13 19
2021-04-07,28,4,10,16,24,25,4,4 10 16 24 25
2021-04-11,29,13,16,19,29,34,13,13 16 19 29 34
2021-04-14,30,11,19,24,25,26,11,11 19 24 25 26
2021-04-18,31,1,3,7,18,20,4,1 3 7 18 20
2021-04-21,32,14,18,20,22,29,8,14 18 20 22 29
2021-04-25,33,2,12,24,31,34,5,2 12 24 31 34
2021-04-28,34,9,10,15,16,34,13,9 10 15 16 34
2021-05-02,35,2,5,15,17,26,3,2 5 15 17 26
2021-05-05,36,7,10,12,13,33,8,7 10 12 13 33
2021-05-09,37,12,14,16,20,25,13,12 14 16 20 25
2021-05-12,38,12,17,22,24,26,2,12 17 22 24 26
2021-05-16,39,17,18,20,27,32,11,17 18 20 27 32
2021-05-19,40,5,18,23,28,32,14,5 18 23 28 32
2021-05-23,41,6,20,21,23,29,8,6 20 21 23 29
2021-05-26,42,14,21,24,27,31,3,14 21 24 27 31
2021-05-30,43,8,18,24,28,29,13,8 18 24 28 29
2021-06-02,44,2,6,16,17,32,11,2 6 16 17 32
2021-06-06,45,7,14,25,28,32,6,7 14 25 28 32
2021-06-09,46,12,17,18,19,30,3,12 17 18 19 30
2021-06-13,47,3,4,8,28,31,6,3 4 8 28 31
2021-06-16,48,2,13,17,22,24,6,2 13 17 22 24
2021-06-20,49,1,12,20,21,25,5,1 12 20 21 25
2021-06-23,50,2,7,11,32,33,6,2 7 11 32 33
2021-06-27,51,4,5,11,15,21,6,4 5 11 15 21
2021-06-30,52,6,15,16,17,31,2,6 15 16 17 31
2021-07-04,53,5,17,24,25,28,10,5 17 24 25 28
2021-07-07,54,10,13,16,31,33,8,10 13 16 31 33
2021-07-11,55,1,12,22,23,30,4,1 12 22 23 30
2021-07-14,56,3,25,28,30,31,10,3 25 28 30 31
2021-07-18,57,2,4,21,23,30,11,2 4 21 23 30
2021-07-21,58,8,16,22,25,30,3,8 16 22 25 30
2021-07-25,59,8,13,26,27,33,3,8 13 26 27 33
2021-07-28,60,1,3,4,7,8,1,1 3 4 7 8
2021-08-01,61,5,6,21,22,26,1,5 6 21 22 26
2021-08-04,62,8,10,18,24,32,6,8 10 18 24 32
2021-08-08,63,2,6,18,26,33,10,2 6 18 26 33
2021-08-11,64,6,14,23,24,26,2,6 14 23 24 26
2021-08-15,65,6,7,11,16,23,3,6 7 11 16 23
2021-08-18,66,1,9,13,22,30,8,1 9 13 22 30
2021-08-22,67,9,15,18,19,30,11,9 15 18 19 30
2021-08-25,68,3,11,19,21,30,11,3 11 19 21 30
2021-08-29,69,2,10,18,29,32,11,2 10 18 29 32
2021-09-01,70,6,8,10,14,22,10,6 8 10 14 22
2021-09-05,71,5,13,14,19,33,5,5 13 14 19 33
2021-09-08,72,1,6,9,23,27,12,1 6 9 23 27
2021-09-12,73,8,16,17,26,30,13,8 16 17 26 30
2021-09-15,74,9,11,26,33,34,1,9 11 26 33 34
2021-09-19,75,1,5,7,19,26,4,1 5 7 19 26
2021-09-22,76,3,13,14,22,32,8,3 13 14 22 32
2021-09-26,77,1,17,21,22,24,14,1 17 21 22 24
2021-09-29,78,10,15,18,19,27,4,10 15 18 19 27
2021-10-03,79,1,12,18,20,23,12,1 12 18 20 23
2021-10-06,80,1,6,8,10,11,12,1 6 8 10 11
2021-10-10,81,8,11,15,24,30,9,8 11 15 24 30
2021-10-13,82,3,7,25,27,31,2,3 7 25 27 31
2021-10-17,83,2,15,20,21,32,4,2 15 20 21 32
2021-10-20,84,1,6,18,23,30,9,1 6 18 23 30
2021-10-24,85,5,12,25,27,30,2,5 12 25 27 30
2021-10-27,86,1,2,8,18,19,14,1 2 8 18 19
2021-10-31,87,7,9,30,32,34,9,7 9 30 32 34
2021-11-03,88,7,14,24,25,29,7,7 14 24 25 29
2021-11-07,89,2,21,29,31,32,8,2 21 29 31 32
2021-11-10,90,6,9,15,30,32,14,6 9 15 30 32
2021-11-14,91,12,17,24,25,34,8,12 17 24 25 34
2021-11-17,92,2,7,8,9,21,14,2 7 8 9 21
2021-11-21,93,4,11,14,27,31,4,4 11 14 27 31
2021-11-24,94,9,16,24,26,30,11,9 16 24 26 30
2021-11-28,95,2,4,19,31,33,14,2 4 19 31 33
2021-12-01,96,11,24,25,28,29,13,11 24 25 28 29
2021-12-05,97,6,7,9,26,33,7,6 7 9 26 33
2021-12-08,98,1,12,16,24,30,8,1 12 16 24 30
2021-12-12,99,3,13,15,26,30,12,3 13 15 26 30
2021-12-15,100,2,7,12,17,28,10,2 7 12 17 28
2021-12-19,101,3,6,7,18,23,8,3 6 7 18 23
2021-12-22,102,4,7,14,15,22,7,4 7 14 15 22
2021-12-26,103,22,23,26,30,34,11,22 23 26 30 34
2021-12-29,104,6,13,21,29,33,9,6 13 21 29 33
2022-01-02,1,8,12,13,15,23,11,8 12 13 15 23
2022-01-05,2,5,13,21,23,24,9,5 13 21 23 24
2022-01-12,4,2,7,15,31,34,13,2 7 15 31 34
2022-01-16,5,4,5,14,28,30,13,4 5 14 28 30
2022-01-19,6,12,13,24,32,34,12,12 13 24 32 34
2022-01-23,7,2,4,12,17,28,6,2 4 12 17 28
2022-01-26,8,3,8,11,17,20,13,3 8 11 17 20
2022-01-30,9,9,19,27,28,34,12,9 19 27 28 34
2022-02-02,10,7,12,27,29,33,14,7 12 27 29 33
2022-02-06,11,3,19,20,27,31,11,3 19 20 27 31
2022-02-09,12,4,10,12,33,34,12,4 10 12 33 34
2022-02-13,13,5,6,8,14,19,5,5 6 8 14 19
2022-02-16,14,4,17,24,31,34,13,4 17 24 31 34
2022-02-20,15,3,21,23,24,27,13,3 21 23 24 27
2022-02-23,16,5,15,18,23,28,5,5 15 18 23 28
2022-02-27,17,2,9,10,25,32,8,2 9 10 25 32
2022-03-02,18,15,18,20,21,22,5,15 18 20 21 22
2022-03-06,19,1,5,10,19,31,12,1 5 10 19 31
2022-03-09,20,4,5,6,17,27,9,4 5 6 17 27
2022-03-16,22,4,11,15,22,28,9,4 11 15 22 28
2022-03-20,23,2,3,13,17,21,14,2 3 13 17 21
2022-03-23,24,6,11,14,23,25,2,6 11 14 23 25
2022-03-27,25,2,3,8,12,13,5,2 3 8 12 13
2022-03-30,26,9,11,13,20,30,11,9 11 13 20 30
2022-04-03,27,18,21,26,29,30,7,18 21 26 29 30
2022-04-06,28,5,6,7,11,30,11,5 6 7 11 30
2022-04-10,29,10,15,21,27,34,3,10 15 21 27 34
2022-04-13,30,11,14,20,24,28,7,11 14 20 24 28
2022-04-17,31,3,21,23,25,34,11,3 21 23 25 34
2022-04-20,32,8,12,21,23,31,12,8 12 21 23 31
2022-04-24,33,3,9,11,15,34,6,3 9 11 15 34
2022-04-27,34,2,4,6,12,14,10,2 4 6 12 14
2022-05-01,35,4,12,20,22,30,9,4 12 20 22 30
2022-05-04,36,1,2,14,18,32,7,1 2 14 18 32
2022-05-08,37,3,22,23,29,30,9,3 22 23 29 30
2022-05-11,38,9,14,16,21,30,10,9 14 16 21 30
2022-05-15,39,7,8,16,22,27,3,7 8 16 22 27
2022-05-18,40,6,10,16,19,27,13,6 10 16 19 27
2022-05-22,41,1,12,16,22,24,1,1 12 16 22 24
2022-05-25,42,5,7,13,17,28,12,5 7 13 17 28
2022-05-29,43,1,6,13,18,23,1,1 6 13 18 23
2022-06-01,44,1,6,9,15,20,3,1 6 9 15 20
2022-06-05,45,13,18,22,23,31,11,13 18 22 23 31
2022-06-08,46,1,15,18,20,25,2,1 15 18 20 25
2022-06-12,47,1,14,21,24,26,12,1 14 21 24 26
2022-06-15,48,6,7,11,25,29,14,6 7 11 25 29
2022-06-19,49,25,26,29,31,33,13,25 26 29 31 33
2022-06-22,50,2,8,10,14,23,1,2 8 10 14 23
2022-06-26,51,1,5,15,19,20,1,1 5 15 19 20
2022-06-29,52,1,15,19,27,29,1,1 15 19 27 29
2022-07-03,53,2,5,14,21,31,3,2 5 14 21 31
